RegionID,SizeRank,RegionName,RegionType,StateName,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30,2025-12-31,2026-01-31
102001,0,United States,country,,134.13466596528144,134.8260245405615,136.99898425596749,136.77504163308743,139.17089678511,140.51352919009582,140.7324557287215,143.78090196989825,145.53398058252426,146.65006858200508,148.46427733619134,148.31349206349208,140.47482638888889,141.2118367346939,142.16366158113732,142.72450223486388,144.69562515521113,145.30892448512586,146.40364188163883,148.17781337605126,149.7300286702611,151.8391541172701,153.66036249014974,153.98126463700234,147.58990053557767,147.43985194324492,148.61106895970326,148.4375,148.1876277699206,149.4139393939394,152.75617320480086,156.00624024961,157.1658380681818,159.82407543436955,160.3275008149402,161.84261407579274,156.09009412819364,159.657347252987,161.53656126482213,164.69048874892377,168.29995739241585,172.661553741165,176.97377692499487,180.56551325264553,183.46443363461827,188.1450488145049,189.80865102639297,192.36445887844476,188.3999013806706,191.07142857142858,194.34748529397658,198.24445180523352,202.42688238954574,205.21056388294076,207.27272727272728,209.75827696906134,210.05,211.72579548819556,211.05006995111555,207.8958345124925,201.94375114045067,201.20053655264923,202.57373737373737,203.69962962962964,205.56204986149584,205.8579335793358,206.4516129032258,208.09361869997528,208.94933503687787,209.48566610455313,207.83029612756263,208.03546430237984,203.74930055955235,203.71332941362385,205.84679665738162,207.67575322812053,208.29615544622507,207.95660341156665,207.7066381156317,207.23350253807106,206.22260273972603,208.31650421655615,206.89655172413794,206.66666666666666,204.73175542406312,204.44821492659344,204.30847457627118,205.1916967514928,203.6262984815454,203.93478260869566,203.7975543478261,204.75143917223835,204.54545454545453,206.6984398991895,203.47587049480757,201.6942315449778,201.99501246882792
394913,1,"New York, NY",msa,NY,232.83010844142038,242.14548404542995,235.02721425037112,248.42594019568128,250.67757417102968,267.4961464354528,264.64646464646466,261.7842845741942,266.78540333458074,270.99128762201735,275.0,279.8857395925598,255.10204081632654,259.57883817427387,265.15396685190774,265.0,279.4117647058824,278.8961038961039,267.85714285714283,265.80840163934425,267.33333333333337,274.25,278.11763078983375,306.66279499498444,263.92857142857144,264.80520681908285,271.98821339564444,283.31043956043953,257.741935483871,269.1902859886752,270.9005376344086,269.07582417582415,271.5217391304348,281.5883435032305,306.4134968287526,329.9951608195007,276.7111908559277,305.42533936651586,314.6704574825536,347.92061281337044,353.38629343629344,386.53927813163483,379.6293333333333,383.17517117718944,398.38723911747167,368.93143656716416,359.38303341902315,389.04694612046154,365.9337052838858,342.2256097560976,386.0261889796774,396.3818437515155,400.1689115162384,410.5090311986864,391.35618887753617,404.76190476190476,351.04524870174487,386.2845724800184,442.17687074829934,430.3956755328952,357.7746825984425,346.3852242744063,401.5667022411953,426.33822832780675,402.6847136603234,460.5256590922436,429.44785276073617,416.6666666666667,404.8582995951417,398.989898989899,428.9440161190948,450.0,449.8025268400212,386.9047619047619,500.0,485.2320675105485,502.61096605744126,527.0215359609915,542.3121908335618,602.790894672338,540.7124681933842,432.5,516.1290322580645,541.3431774318872,500.0,418.2638888888889,475.0,462.8672839506173,428.28213262833225,520.5286799887419,453.5752401280683,573.8304093567251,471.0691823899371,462.14568661971833,533.3333333333334,495.46142208774586,822.7935251097585
753899,2,"Los Angeles, CA",msa,CA,385.85481682496606,401.9835510401548,398.9213639526792,421.31398013750953,422.56125751271384,419.3138500635324,424.2575492887447,429.9654178674352,428.03064982115984,422.01728441303067,396.27267060711125,403.14032424086463,439.26247288503254,408.74533203442115,415.87982832618025,441.48833622517833,431.78916035940335,429.2636529183719,433.47554702419495,420.6233061312413,422.9119170984456,418.91813333333334,418.2403433476395,399.76689976689977,427.84796642307776,427.67593258992144,439.28980526918673,419.4516314398943,419.0391459074733,439.68271673065556,431.54523618895115,414.5024243597314,442.1588594704684,426.96629213483146,437.49618245262207,453.63408521303256,464.88577970761446,432.2740233596737,488.1769641495042,514.4301569513825,492.7463731865933,503.5773252614199,508.6673889490791,507.2087658592849,540.0107475519465,495.88665447897625,530.0613496932515,536.9183285849953,552.4011784568794,573.4536082474227,584.5347477542573,601.8099547511313,634.7010178117048,653.2779497396853,639.6492119979664,611.1729288115399,599.5717344753747,545.9253749845047,583.4152418490237,593.2773109243698,570.0633412509897,535.1037212984957,596.4054064372889,574.8502994011976,570.570763619399,587.7021432950825,549.3273542600897,596.1687306501548,591.6466841513676,599.5810910488509,564.1132389675271,552.7575376884422,642.7765093501239,566.2259856630824,564.6970830216903,542.8571428571429,532.9478024430441,560.4717157083868,559.5178571428571,528.3875163591633,556.6822703335284,601.8254128656811,563.6287878787879,619.9365973934484,599.6611829220525,639.4109668668863,592.5196850393701,640.491452991453,651.9823788546255,566.1722760981175,672.0912861407483,581.9793205317577,581.4612546125461,635.8311825470244,543.4821320411871,593.3217768147346,654.6151646905242
394463,3,"Chicago, IL",msa,IL,139.4257575757576,146.66666666666666,145.69984621091515,149.68445585276115,151.17419137466305,151.89179954441914,155.52631578947367,146.5,153.19730941704037,146.5845946506324,149.36121212121213,151.27954702422787,144.759980049621,145.95955015418102,149.27934111187372,152.07931406876094,159.28859726387068,152.37544169611309,162.7134724857685,155.47339212677235,156.0554877221544,152.72222222222223,150.57283142389525,156.91417699731178,143.84361124814998,152.23275303405205,153.32036349339452,153.54872881355934,147.2781988543682,157.02479338842974,156.9111900183155,160.1657458563536,165.8067124949454,166.11111111111111,158.5068800764453,162.41299303944317,157.61250099136402,160.1998420221169,167.47636363636363,167.39511223835223,168.64246780297475,175.48612044817926,178.046875,176.43850760018427,181.17340153452685,186.7319704713231,185.86387434554973,187.35177865612647,186.03960396039605,185.42923024117187,195.31194690265488,195.6148854961832,195.07908611599296,206.49187935034803,203.64073126598865,196.47355123353913,197.46424642464245,193.68365180467092,196.66906426038395,191.95058533002623,190.09153752208402,190.41837481698389,196.33694291037125,200.11522134627046,204.1601792056829,198.33333333333334,201.12113060634175,199.5,202.47174738841406,200.8638136756427,201.08695652173913,206.28071833648394,198.80114387547144,204.0,204.28238196296095,210.48470299296838,211.62950751452487,221.35110380193714,216.89186583254883,211.910556621881,210.9894291754757,206.25,204.33138226024315,215.836070060208,211.2766396945695,208.31985154736424,211.52772512122664,222.70653824568353,215.55813055233682,220.70257288320505,216.67821133293003,213.5478359908884,214.63239944768605,214.45986083806278,210.6228736904137,215.61662552603408,212.1140456405147
394514,4,"Dallas, TX",msa,TX,131.656330749354,131.122763767459,132.14146910221532,131.356940509915,134.35975649519548,135.96065318150073,135.38194444444446,134.83594515181196,136.5016211208893,137.00320908417675,134.8652997032641,136.52261448057484,135.84538951262726,136.7190122046672,135.06027501396696,137.5812679750956,137.69655758606035,137.41842012426883,139.32898415657036,138.06618962432916,139.31164478857903,139.6241474626774,140.19444444444446,138.62140044243924,139.57820197044336,138.36980883322346,139.81900452488688,140.49470053949506,140.5031674208145,141.4527574238334,141.94761108920744,143.90602055800295,144.828565830721,147.21588522898725,147.94157608695653,148.65459138663886,149.16784340238482,153.4170077429061,153.85091980339809,160.26955267480633,163.55804407631553,162.0049685326267,167.924778430963,171.9209388511427,174.8870588235294,175.57095709570956,176.7066877310278,180.54875061244488,182.30709693708297,183.68617683686176,190.66846119336026,195.46742209631728,200.7189934092271,205.0380785002929,204.53551912568307,204.46287430947575,203.56426401442096,200.44705343240634,198.50574712643677,196.25658492279746,192.5752284772447,191.30434782608697,192.50919842312746,193.2727975270479,193.9655172413793,193.5777037261436,194.69298502421927,195.70011025358323,194.62162765320522,191.89283046923558,190.6893984514592,189.70061165008434,187.16800804828975,186.2714193211511,189.589705699629,191.64759725400458,191.8629550321199,190.90594288743569,191.03436917904685,188.44707207207205,188.95348837209303,189.90610859728505,187.19899244332493,188.37155075245977,183.6,184.81351140711712,184.35062169757072,183.86540359186895,180.3639958286829,181.48820326678765,180.32496607869743,180.02882468266674,179.1865205276889,177.52384781841047,174.59018033938722,174.46941323345817,173.9573213689792
394692,5,"Houston, TX",msa,TX,114.59321245932125,114.57803153887983,116.60438797682279,118.18947511312372,118.73996789727127,119.08082191780822,120.2127659574468,120.38398962627083,120.68079640333976,120.64343163538874,119.69081272084806,121.9183555298205,119.70652971386647,120.61995656489488,123.68156424581005,122.18642955615462,123.69399705845998,124.68434343434343,125.66743383199079,124.72761427676895,126.42225031605562,125.37968515742129,126.72064323111444,126.70479810118977,123.89335784450262,125.28233467231911,127.375173370319,127.09697472026522,126.72649976381672,128.36056348801003,128.7162709639981,130.3294099846117,130.5109231853418,133.06803742015228,133.89085994044206,135.40084388185653,135.4843444227006,135.3690963295184,140.3885066774585,144.55266122010804,146.46620363355538,151.6420107847311,153.61900684931507,155.84574468085106,157.57957167648797,158.8145896656535,161.61849461518892,163.48427672955975,161.54145581938496,165.8078231292517,169.91525423728814,174.4456556847545,174.6023856538792,177.14808043875686,176.9867256637168,179.34178882650002,177.42750300521732,173.94366197183098,172.47043865598954,171.3973493233209,165.4632098701508,166.26251137397634,169.0477481075735,169.884693385523,172.36277085628726,171.5986227250369,172.86751993518206,172.30301760471443,171.40364188163883,167.30085780704619,164.98322147651007,170.29491945477076,166.66666666666666,165.09557618787548,170.3846153846154,171.08415288735185,170.33542976939202,171.4422010787107,171.91576086956522,170.2127659574468,169.4915254237288,171.60856253488305,167.82209534347322,170.62817258883248,168.03953871499175,166.00281904279245,169.9825378346915,170.31067850867026,168.07568333147964,168.13265993265992,169.01989977485655,165.60759485566393,164.26512968299713,164.02783282079093,162.33362497458933,165.73482428115017,162.95213737668982
395209,6,"Washington, DC",msa,VA,183.72296361223258,181.0561273269961,186.80054520672422,185.6060606060606,182.9861505681818,183.55877616747182,186.39504513155367,191.2608695652174,188.5465367965368,199.7055543408282,191.58494147421703,195.802066772655,191.03569853867472,184.01550998948474,193.43649946638206,194.03227232537577,192.1958224543081,192.52556046760134,194.6488469601677,192.15380486937426,197.64536446611652,195.5879602511535,196.43229841452302,202.21248226072606,200.81196581196582,200.89262079831934,201.1138613861386,200.4266877637131,202.5586353944563,204.69278802718497,218.52460662872448,214.39783392460558,216.88063337393422,222.04490566037737,212.89784579970228,219.76151284611205,211.3542857142857,219.33676028866785,226.70322580645163,228.1373920606975,222.32080191442193,225.33820346320346,234.36133733390486,239.0547383413272,238.846875,250.0,252.7023362536504,250.65560348761002,248.6478831246273,243.7385,254.08353641759365,255.31822344322345,259.6437253059106,263.2199884954764,268.6330409356725,274.9792015443238,274.6868402533427,283.28818309201307,283.7719738824711,270.22621423819027,254.6279477571497,257.9530988274707,257.5095785440613,258.19767441860466,265.625,276.4300165936213,283.12752627324176,275.1088992974239,261.9932586021573,265.1778708850684,262.9406068431246,271.09916341211783,284.66280810955004,273.704806813232,285.8728671796587,286.35292528019926,273.46855059252505,275.5696873343932,276.93856998992953,262.96151701059676,263.9854825727883,253.75393227845157,262.5194746376812,282.8691987371509,277.03062357666886,273.3693972179289,274.1554955284925,269.1658506731946,266.4984382705902,273.26726726726724,270.7984005292652,270.3546321321321,280.3029572599688,269.21855541718554,246.50780608052588,266.4890708091025,257.26908263305324
394974,7,"Philadelphia, PA",msa,PA,166.66666666666666,167.3762639701969,167.32046511627908,172.16117216117217,170.410175654163,166.51252019386106,165.88755980861245,168.99124476589265,164.4608468677494,179.44802772068977,168.31679133673686,169.0625,162.80254179728317,163.63706930859775,163.49685001828425,169.58410382165778,164.46801346801348,170.25132073937408,165.27316875758802,168.74020428667114,169.7080311015681,173.16236882416092,168.10349051443455,165.2635807157521,164.39205955334987,167.77786952931461,166.66666666666666,171.45374608528067,167.09664536741215,166.5,172.21948818897638,176.747311827957,175.90451395998952,181.60714285714283,183.42546224961478,180.87135818337617,173.70229007633588,183.09012875536482,185.38538587566737,182.28917197957304,187.8048780487805,194.73997833152762,196.68013580464816,197.92851135407906,199.04188144329896,206.75906784439016,205.94229863400847,213.04347826086956,202.6198891198891,201.49122807017545,208.12530804581843,205.43309714790325,222.61363636363637,218.76845637583892,226.05727513227515,222.68254790264112,224.87805159368327,229.71504307488402,225.29644268774703,232.53579295154185,223.72546189376442,220.86700008009933,228.89908256880733,241.3794098966453,238.4921426789723,244.26508071367886,235.43928828489643,239.85253944402706,240.7037037037037,246.9125624723224,238.82666666666665,241.07499137920576,245.57677165354332,235.0536535513541,240.21654395842356,241.7837335446124,252.5056970015781,248.99749627610686,256.57299769773306,255.15798186958276,251.36896046852124,261.7920459990417,258.9560460229102,248.94293374186137,257.9253355704698,241.14772791188787,247.08087669828248,281.7849423631124,262.4788902291918,252.62897987758336,275.9882047139721,263.35616438356163,258.1840643968422,261.142061281337,241.49698340874812,248.98748939779475,244.87718164188752
394856,8,"Miami, FL",msa,FL,205.0519006444245,218.61120443022008,208.0188679245283,220.11086524712567,234.22992830629988,249.32249322493226,232.21456397962243,224.01433691756273,230.85680047932894,209.75056689342404,203.4525277435265,207.1629213483146,204.4833573491009,211.4102564102564,210.21989548338934,202.82313302883313,210.49661399548532,207.85219399538107,212.8376349131863,215.03721024349665,212.99613628380752,213.9141614180523,222.51725969198088,224.58259325044406,223.86840279895654,209.33116279069768,218.07029702970297,219.63146704464918,221.16402116402116,213.11475409836066,217.50495059397136,215.21511017838404,221.40820445738478,224.28427079824857,233.5423778440317,228.90947910108667,217.3913043478261,226.56403759699563,233.30206378986867,226.89963006114516,252.04460966542752,246.63526244952894,243.43434343434345,244.28020555644773,250.718954248366,257.35475051264524,258.16847611959895,271.5759312320917,272.2772277227723,262.5,276.68202764976957,280.8206580073788,280.31949377865556,284.34382194934767,289.72682119205297,285.032074126871,283.5310798401907,295.0813169377231,288.5555068012286,288.4768228692375,301.92685198146364,298.1610337972167,326.8795332063698,324.1088900578643,322.53333931515607,356.47136996336997,343.790610718737,329.79529946929495,346.3347921225383,357.31319188191884,357.19227727991563,321.2485200138864,354.74010893450395,338.9923329682366,347.6510067114094,364.3649992664218,346.88153351428093,344.4697703004494,353.5012136788748,346.02627257799674,356.69686623941374,360.6158833063209,360.0,360.94224924012155,375.5577590480912,376.1363636363636,366.1685038478148,400.18407731247123,375.4032258064516,447.78133373834623,400.4404116307909,370.4301075268817,385.03401360544217,403.67137795141457,383.2550074183976,453.18626560038774,546.2710970233461
394347,9,"Atlanta, GA",msa,GA,103.04122550123901,103.65178398645381,105.12915129151291,106.88168187744459,108.41094536776674,108.83090409435701,108.85256929445644,109.92419021364576,112.51648804616653,116.55844330967886,116.96714743589743,116.29492753623188,109.92903868031854,111.02807353482545,113.60659747425585,113.2034632034632,117.0248132108506,114.82558139534883,118.96717411988583,120.02664067576349,122.29192538978748,121.87659963436928,124.08673267326732,124.29971988795518,119.09997917632143,121.9026369168357,122.95965865011637,125.00782661047562,122.67157105030891,123.39346051002087,126.46642014377701,128.50710900473933,129.07628676470588,131.06420316723572,132.6907214419174,133.37270287169633,131.74320802400882,134.72133333333332,137.93984962406014,140.2196109553197,145.68388033187603,147.35509660226515,151.21997800236443,157.1016582552271,157.03097329118856,160.4301488238118,163.2296548785684,166.07604282022888,162.68438177874185,165.8175355450237,171.534500148424,173.1690622861054,176.832393644285,185.26473526473526,184.37636363636364,186.39936271906532,185.6452578505877,183.14424635332253,185.64297040169134,183.90498247677866,177.93,182.7317442300416,183.6641541572855,188.16666666666666,189.6551724137931,189.00213219616205,186.7394325419803,187.59488180438083,191.1663479923518,194.80466386153557,188.9168765743073,192.7722222222222,186.7984693877551,190.89863547758284,190.01997716894977,194.61625486307975,193.1704608550805,189.98733375554147,190.5781584582441,191.42857142857142,193.9663350519595,194.1638480369256,198.37271511368704,195.9442449984444,194.8747891746632,191.3061368054845,189.65994589101882,193.10693641618496,189.98733375554147,191.14623513187738,197.0033296337403,191.24820659971306,186.32051282051282,189.94444444444446,190.47619047619048,188.38978829389788,188.23918971562134
